Video ID,Weight,Topics
-TeeIEh2IE8,0.157,"love"", ""house"", ""door"", ""know"", ""trophies"", ""room"", ""wow"", ""nepal"", ""queen"""
-TeeIEh2IE8,0.125,"beautiful"", ""many"", ""cool"", ""nice"", ""trophies"", ""magazine"", ""times"", ""remember"", ""unique"""
-TeeIEh2IE8,0.118,"place"", ""keep"", ""second"", ""trophies"", ""love"", ""trophy"", ""body"", ""trash"", ""one"""
-TeeIEh2IE8,0.115,"home"", ""house"", ""art"", ""love"", ""like"", ""beautiful"", ""gallery"", ""room"", ""see"""
-TeeIEh2IE8,0.114,"like"", ""home"", ""looks"", ""house"", ""museum"", ""chair"", ""cold"", ""feel"", ""elmo"""
-zkOLKMiX9c,0.152,"love"", ""home"", ""beautiful"", ""like"", ""house"", ""lovely"", ""woman"", ""vibe"", ""body"""
-zkOLKMiX9c,0.124,"house"", ""love"", ""like"", ""white"", ""nice"", ""everything"", ""home"", ""beautiful"", ""taste"""
-zkOLKMiX9c,0.117,"like"", ""love"", ""old"", ""lol"", ""much"", ""home"", ""would"", ""people"", ""beautiful"""
-zkOLKMiX9c,0.109,"house"", ""like"", ""love"", ""beautiful"", ""amazing"", ""room"", ""art"", ""cool"", ""people"""
-zkOLKMiX9c,0.085,"house"", ""home"", ""love"", ""absolutely"", ""art"", ""omg"", ""like"", ""see"", ""pepper"""
0K9eZCW-lvc,0.143,"house"", ""love"", ""beautiful"", ""home"", ""like"", ""taste"", ""style"", ""lovely"", ""cozy"""
0K9eZCW-lvc,0.136,"home"", ""love"", ""lovely"", ""beautiful"", ""wow"", ""cute"", ""house"", ""job"", ""dress"""
0K9eZCW-lvc,0.124,"kitchen"", ""house"", ""see"", ""amazing"", ""cozy"", ""love"", ""home"", ""beautiful"", ""loved"""
0K9eZCW-lvc,0.113,"house"", ""love"", ""would"", ""beautiful"", ""home"", ""much"", ""like"", ""pretty"", ""sweet"""
0K9eZCW-lvc,0.104,"like"", ""nice"", ""looks"", ""vibes"", ""see"", ""something"", ""house"", ""body"", ""tate"""
0_BEwbnmRZ4,0.134,"love"", ""house"", ""like"", ""sounds"", ""taste"", ""way"", ""man"", ""wow"", ""guy"""
0_BEwbnmRZ4,0.132,"love"", ""humor"", ""house"", ""room"", ""like"", ""panic"", ""spanish"", ""know"", ""also"""
0_BEwbnmRZ4,0.132,"like"", ""house"", ""guy"", ""want"", ""would"", ""sounds"", ""hilarious"", ""love"", ""one"""
0_BEwbnmRZ4,0.13,"house"", ""home"", ""like"", ""love"", ""cool"", ""style"", ""jazzy"", ""would"", ""spanish"""
0_BEwbnmRZ4,0.112,"nice"", ""home"", ""lol"", ""leave"", ""hilarious"", ""also"", ""could"", ""monotone"", ""people"""
5WH-PSs9hI8,0.193,"house"", ""much"", ""joy"", ""mama"", ""one"", ""laugh"", ""like"", ""omg"""
5WH-PSs9hI8,0.168,"house"", ""drag"", ""stunning"", ""amazing"", ""queen"", ""gorgeous"", ""closet"", ""like"", ""would"""
5WH-PSs9hI8,0.147,"room"", ""wow"", ""favorite"", ""disco"", ""everything"", ""color"", ""house"", ""white"", ""black"""
5WH-PSs9hI8,0.139,"fracking"", ""like"", ""money"", ""see"", ""well"", ""want"", ""rich"", ""looks"", ""day"""
5WH-PSs9hI8,0.137,"house"", ""best"", ""thank"", ""ever"", ""tour"", ""beautiful"", ""seen"", ""loved"", ""person"""
5vNoHwgoIjw,0.148,"home"", ""house"", ""beautiful"", ""love"", ""like"", ""lovely"", ""nice"", ""seems"", ""would"""
5vNoHwgoIjw,0.143,"chicken"", ""dress"", ""got"", ""anyone"", ""know"", ""coop"", ""chickens"", ""else"", ""taste"""
5vNoHwgoIjw,0.127,"love"", ""house"", ""home"", ""like"", ""much"", ""amazing"", ""style"", ""everything"", ""kids"""
5vNoHwgoIjw,0.127,"lizzie"", ""mcguire"", ""lol"", ""girl"", ""thought"", ""samsung"", ""like"", ""blurred"", ""fish"""
5vNoHwgoIjw,0.125,"room"", ""want"", ""best"", ""kids"", ""house"", ""sons"", ""seen"", ""loved"", ""ever"""
5zvsAwsEwPg,0.161,"beautiful"", ""couple"", ""house"", ""love"", ""happy"", ""see"", ""well"", ""lovely"", ""two"""
5zvsAwsEwPg,0.15,"love"", ""two"", ""beautiful"", ""much"", ""people"", ""thank"", ""amazing"", ""gorgeous"", ""story"""
5zvsAwsEwPg,0.126,"beautiful"", ""house"", ""episode"", ""couple"", ""two"", ""love"", ""people"", ""joy"", ""watch"""
5zvsAwsEwPg,0.107,"much"", ""love"", ""best"", ""two"", ""one"", ""episode"", ""sweet"", ""ever"", ""together"""
5zvsAwsEwPg,0.105,"love"", ""one"", ""lovely"", ""favorite"", ""sharing"", ""wife"", ""see"", ""thanks"", ""homes"""
7R2RyqU4hjI,0.18,"mcnulty"", ""castle"", ""married"", ""lol"", ""pot"", ""lady"", ""damn"", ""money"", ""gorgeous"""
7R2RyqU4hjI,0.126,"irish"", ""like"", ""love"", ""video"", ""garden"", ""haunted"", ""place"", ""accent"", ""needs"""
7R2RyqU4hjI,0.118,"home"", ""lovely"", ""catherine"", ""couple"", ""tour"", ""thank"", ""wonderful"", ""best"", ""castle"""
7R2RyqU4hjI,0.114,"castle"", ""would"", ""want"", ""good"", ""family"", ""title"", ""catherine"", ""say"", ""ancestors"""
7R2RyqU4hjI,0.11,"beautiful"", ""castle"", ""like"", ""amazing"", ""house"", ""home"", ""would"", ""family"", ""place"""
7Z76MiQv0zg,0.185,"beautiful"", ""home"", ""lovely"", ""love"", ""lady"", ""thank"", ""woman"", ""soul"", ""amazing"""
7Z76MiQv0zg,0.152,"voice"", ""sweet"", ""love"", ""person"", ""soothing"", ""seems"", ""like"", ""lovely"", ""could"""
7Z76MiQv0zg,0.127,"house"", ""sword"", ""attic"", ""loved"", ""would"", ""though"", ""sharing"", ""lotr"", ""display"""
7Z76MiQv0zg,0.127,"love"", ""house"", ""tree"", ""home"", ""magnolia"", ""style"", ""much"", ""wow"", ""stunning"""
7Z76MiQv0zg,0.125,"like"", ""video"", ""arwen"", ""still"", ""good"", ""would"", ""asmr"", ""someone"", ""could"""
7cGmj0AR3z8,0.143,"beautiful"", ""house"", ""love"", ""statue"", ""creepy"", ""nice"", ""handsome"", ""home"", ""like"""
7cGmj0AR3z8,0.134,"house"", ""love"", ""beautiful"", ""like"", ""see"", ""bedroom"", ""nice"", ""much"", ""one"""
7cGmj0AR3z8,0.132,"right"", ""video"", ""like"", ""house"", ""love"", ""time"", ""tour"", ""quality"", ""good"""
7cGmj0AR3z8,0.126,"baby"", ""que"", ""casa"", ""love"", ""house"", ""damn"", ""would"", ""lol"", ""think"""
7cGmj0AR3z8,0.114,"neymar"", ""colombian"", ""colombia"", ""jersey"", ""love"", ""guy"", ""hot"", ""coffee"", ""know"""
80z6drP0NY8,0.184,"nice"", ""house"", ""come"", ""people"", ""miss"", ""mind"", ""taste"", ""decor"", ""yes"""
80z6drP0NY8,0.176,"like"", ""guy"", ""looks"", ""future"", ""damn"", ""older"", ""good"", ""lol"", ""man"""
80z6drP0NY8,0.173,"house"", ""home"", ""furniture"", ""wow"", ""jordan"", ""actually"", ""one"", ""vacation"", ""need"""
