Video ID,Emotion_Scores
-TeeIEh2IE8,"{'anger': 488, 'anticipation': 1444, 'fear': 491, 'joy': 2132, 'positive': 2959, 'trust': 1332, 'surprise': 859, 'negative': 1090, 'sadness': 806, 'disgust': 494}"
-zkOLKMiX9c,"{'joy': 705, 'positive': 921, 'surprise': 157, 'trust': 321, 'anger': 83, 'disgust': 89, 'fear': 95, 'negative': 194, 'sadness': 145, 'anticipation': 293}"
0K9eZCW-lvc,"{'trust': 716, 'anger': 126, 'negative': 284, 'sadness': 230, 'positive': 1762, 'disgust': 158, 'fear': 151, 'anticipation': 573, 'joy': 1258, 'surprise': 325}"
0_BEwbnmRZ4,"{'positive': 1475, 'surprise': 310, 'negative': 538, 'sadness': 341, 'trust': 494, 'fear': 261, 'joy': 965, 'anger': 230, 'anticipation': 424, 'disgust': 193}"
5WH-PSs9hI8,"{'joy': 3633, 'positive': 4639, 'surprise': 718, 'trust': 1683, 'anticipation': 1419, 'negative': 898, 'sadness': 522, 'disgust': 336, 'fear': 329, 'anger': 381}"
5vNoHwgoIjw,"{'trust': 2794, 'anger': 792, 'fear': 905, 'positive': 6933, 'anticipation': 2496, 'joy': 5207, 'negative': 1639, 'sadness': 1037, 'surprise': 1314, 'disgust': 767}"
5zvsAwsEwPg,"{'joy': 2197, 'positive': 2706, 'surprise': 402, 'trust': 867, 'sadness': 270, 'anticipation': 701, 'negative': 200, 'disgust': 79, 'anger': 71, 'fear': 115}"
7R2RyqU4hjI,"{'negative': 1380, 'joy': 2787, 'positive': 4315, 'surprise': 1150, 'trust': 1932, 'anticipation': 1684, 'sadness': 904, 'anger': 675, 'fear': 740, 'disgust': 609}"
7Z76MiQv0zg,"{'anticipation': 3160, 'joy': 7023, 'positive': 8970, 'sadness': 1281, 'surprise': 2097, 'trust': 3791, 'negative': 1459, 'anger': 964, 'disgust': 1005, 'fear': 775}"
7cGmj0AR3z8,"{'positive': 995, 'trust': 403, 'anticipation': 364, 'fear': 168, 'joy': 684, 'surprise': 190, 'anger': 178, 'disgust': 153, 'negative': 307, 'sadness': 216}"
80z6drP0NY8,"{'trust': 3419, 'positive': 6485, 'anticipation': 3485, 'joy': 3980, 'anger': 1553, 'fear': 1594, 'disgust': 1364, 'negative': 3174, 'sadness': 1770, 'surprise': 1316}"
8MkcEzfyCFM,"{'joy': 611, 'positive': 863, 'surprise': 241, 'trust': 338, 'negative': 207, 'disgust': 83, 'fear': 96, 'anticipation': 372, 'sadness': 226, 'anger': 108}"
9KapEXWynrA,"{'negative': 854, 'joy': 2422, 'positive': 3280, 'anticipation': 1060, 'trust': 1217, 'anger': 319, 'disgust': 321, 'surprise': 525, 'fear': 352, 'sadness': 409}"
9OvibwfflDg,"{'joy': 1992, 'positive': 2574, 'surprise': 378, 'trust': 817, 'anger': 252, 'disgust': 230, 'fear': 206, 'negative': 514, 'sadness': 292, 'anticipation': 706}"
9p9sGtV4UoU,"{'joy': 797, 'positive': 1074, 'surprise': 216, 'trust': 411, 'anger': 112, 'fear': 103, 'anticipation': 372, 'negative': 299, 'sadness': 179, 'disgust': 170}"
ATGZ58IRwfE,"{'joy': 1479, 'positive': 1901, 'anticipation': 614, 'negative': 342, 'surprise': 337, 'fear': 193, 'trust': 653, 'sadness': 235, 'anger': 189, 'disgust': 185}"
AkTkUOOCZ-w,"{'positive': 578, 'anger': 71, 'anticipation': 197, 'joy': 425, 'surprise': 116, 'trust': 246, 'negative': 140, 'fear': 75, 'sadness': 98, 'disgust': 59}"
AwhBTrzzqeg,"{'anger': 1671, 'anticipation': 3770, 'negative': 3418, 'trust': 4787, 'surprise': 2051, 'fear': 1638, 'disgust': 1465, 'sadness': 1697, 'positive': 11498, 'joy': 8278}"
Axg27gwEqCE,"{'anticipation': 2192, 'negative': 1764, 'positive': 7126, 'joy': 5406, 'trust': 2638, 'anger': 990, 'disgust': 875, 'surprise': 1363, 'fear': 933, 'sadness': 1182}"
BDA6rPA0Fcs,"{'anticipation': 695, 'fear': 248, 'positive': 1567, 'surprise': 405, 'trust': 682, 'joy': 1103, 'disgust': 292, 'negative': 537, 'sadness': 323, 'anger': 276}"
D-qQneOnJl0,"{'anticipation': 5694, 'joy': 8213, 'positive': 11134, 'surprise': 2970, 'trust': 5772, 'anger': 2863, 'disgust': 2256, 'fear': 2129, 'negative': 4103, 'sadness': 2189}"
D_gkHpZ2oRI,"{'joy': 645, 'positive': 879, 'surprise': 152, 'trust': 385, 'anticipation': 288, 'fear': 116, 'disgust': 135, 'negative': 187, 'sadness': 130, 'anger': 123}"
EB_Z-8kBNm8,"{'joy': 683, 'positive': 974, 'surprise': 171, 'trust': 357, 'disgust': 94, 'negative': 195, 'anticipation': 315, 'anger': 82, 'fear': 83, 'sadness': 175}"
EobMnSpjfTU,"{'positive': 5892, 'negative': 1608, 'sadness': 1003, 'anticipation': 2198, 'joy': 4350, 'trust': 2476, 'disgust': 920, 'surprise': 1089, 'anger': 805, 'fear': 793}"
