Video ID,Emotion_Percentages
-TeeIEh2IE8,"{'positive': 24.464654816039687, 'joy': 17.627118644067796, 'anticipation': 11.93881769326168, 'trust': 11.012815212897891, 'negative': 9.011988424968996, 'surprise': 7.102108309218686, 'sadness': 6.663910706903679, 'disgust': 4.0843323687474165, 'fear': 4.05952873088053, 'anger': 4.034725093013642}"
-zkOLKMiX9c,"{'positive': 30.66933066933067, 'joy': 23.476523476523475, 'trust': 10.68931068931069, 'anticipation': 9.756909756909756, 'negative': 6.460206460206461, 'surprise': 5.228105228105228, 'sadness': 4.828504828504829, 'fear': 3.1635031635031634, 'disgust': 2.9637029637029637, 'anger': 2.763902763902764}"
0K9eZCW-lvc,"{'positive': 31.560093139888952, 'joy': 22.532688518717535, 'trust': 12.824646247537167, 'anticipation': 10.263299301450832, 'surprise': 5.821243059287121, 'negative': 5.086870857961669, 'sadness': 4.119648934264732, 'disgust': 2.830019702668816, 'fear': 2.704639082930324, 'anger': 2.2568511552928534}"
0_BEwbnmRZ4,"{'positive': 28.1972854138788, 'joy': 18.447715541961387, 'negative': 10.284840374689352, 'trust': 9.443701013190594, 'anticipation': 8.105524756260753, 'sadness': 6.518830051615369, 'surprise': 5.926209137832155, 'fear': 4.9894857579812655, 'anger': 4.39686484419805, 'disgust': 3.689543108392277}"
5WH-PSs9hI8,"{'positive': 31.865640884736912, 'joy': 24.955351009754086, 'trust': 11.560653935980216, 'anticipation': 9.74721802445391, 'negative': 6.1684297293584285, 'surprise': 4.931996153317764, 'sadness': 3.5856573705179287, 'anger': 2.617117735952741, 'disgust': 2.3080093419425745, 'fear': 2.2599258139854377}"
5vNoHwgoIjw,"{'positive': 29.027801038352035, 'joy': 21.801205828169486, 'trust': 11.698208005359238, 'anticipation': 10.450510802210685, 'negative': 6.862334617317033, 'surprise': 5.5015910232791825, 'sadness': 4.341818790822308, 'fear': 3.7891475464746276, 'anger': 3.3160274660860827, 'disgust': 3.211354881929325}"
5zvsAwsEwPg,"{'positive': 35.56782334384858, 'joy': 28.87749737118822, 'trust': 11.39589905362776, 'anticipation': 9.213985278654048, 'surprise': 5.28391167192429, 'sadness': 3.548895899053628, 'negative': 2.6288117770767614, 'fear': 1.5115667718191377, 'disgust': 1.0383806519453207, 'anger': 0.9332281808622502}"
7R2RyqU4hjI,"{'positive': 26.675321463897134, 'joy': 17.229228486646882, 'trust': 11.943620178041543, 'anticipation': 10.410484668644907, 'negative': 8.531157270029674, 'surprise': 7.109297725024728, 'sadness': 5.588526211671612, 'fear': 4.574678536102868, 'anger': 4.172848664688427, 'disgust': 3.7648367952522257}"
7Z76MiQv0zg,"{'positive': 29.38574938574939, 'joy': 23.00737100737101, 'trust': 12.41932841932842, 'anticipation': 10.352170352170353, 'surprise': 6.8697788697788695, 'negative': 4.7796887796887795, 'sadness': 4.196560196560196, 'disgust': 3.2923832923832927, 'anger': 3.158067158067158, 'fear': 2.538902538902539}"
7cGmj0AR3z8,"{'positive': 27.200656096227448, 'joy': 18.698742482230728, 'trust': 11.016949152542372, 'anticipation': 9.950792782941498, 'negative': 8.392564242755604, 'sadness': 5.90486604702023, 'surprise': 5.19409513395298, 'anger': 4.866047020229634, 'fear': 4.592673592126846, 'disgust': 4.182613449972663}"
