Video ID,Emotion_Percentages
-TeeIEh2IE8,"{'positive': 26.61928751349406, 'joy': 19.179560993163008, 'anticipation': 12.990284274919036, 'trust': 11.982727599856064, 'negative': 9.805685498380711, 'surprise': 7.727599856063332, 'sadness': 7.250809643756748, 'disgust': 4.4440446203670385}"
-zkOLKMiX9c,"{'positive': 32.53267396679618, 'joy': 24.902861179795124, 'trust': 11.338749558459908, 'anticipation': 10.349699752737548, 'negative': 6.852702225362063, 'surprise': 5.54574355351466, 'sadness': 5.121865065347934, 'fear': 3.3557046979865772}"
0K9eZCW-lvc,"{'positive': 33.207689408217114, 'joy': 23.709008669430833, 'trust': 13.494157557482096, 'anticipation': 10.799095363739163, 'surprise': 6.125141349415756, 'negative': 5.352431209950999, 'sadness': 4.334715416509612, 'disgust': 2.977761025254429}"
0_BEwbnmRZ4,"{'positive': 30.678036605657237, 'joy': 20.07071547420965, 'negative': 11.189683860232945, 'trust': 10.274542429284526, 'anticipation': 8.818635607321132, 'sadness': 7.09234608985025, 'surprise': 6.447587354409317, 'fear': 5.428452579034942}"
5WH-PSs9hI8,"{'positive': 33.39091628877852, 'joy': 26.1498596415461, 'trust': 12.114014251781473, 'anticipation': 10.21377672209026, 'negative': 6.4636867487223775, 'surprise': 5.168070251205643, 'sadness': 3.7572878427985317, 'anger': 2.742388253077089}"
5vNoHwgoIjw,"{'positive': 31.054871220604703, 'joy': 23.32362821948488, 'trust': 12.51511758118701, 'anticipation': 11.180291153415453, 'negative': 7.3415453527435615, 'surprise': 5.885778275475924, 'sadness': 4.6450167973124294, 'fear': 4.0537513997760355}"
5zvsAwsEwPg,"{'positive': 36.283185840707965, 'joy': 29.458299812282114, 'trust': 11.62510056315366, 'anticipation': 9.39930276213462, 'surprise': 5.390185036202736, 'sadness': 3.620273531777957, 'negative': 2.681684097613301, 'fear': 1.5419683561276483}"
7R2RyqU4hjI,"{'positive': 28.97528874563524, 'joy': 18.71474617244158, 'trust': 12.97340854149879, 'anticipation': 11.308084877786731, 'negative': 9.26672038678485, 'surprise': 7.722266988987375, 'sadness': 6.07037335482138, 'fear': 4.9691109320440505}"
7Z76MiQv0zg,"{'positive': 31.160981032446326, 'joy': 24.397276453831722, 'trust': 13.16959633155006, 'anticipation': 10.977558535399153, 'surprise': 7.284791217953172, 'negative': 5.068436045299799, 'sadness': 4.4500798999513655, 'disgust': 3.4912804835684015}"
7cGmj0AR3z8,"{'positive': 29.817201078813305, 'joy': 20.49745280191789, 'trust': 12.076715612825891, 'anticipation': 10.90800119868145, 'negative': 9.19988013185496, 'sadness': 6.4728798321845975, 'surprise': 5.693736889421636, 'anger': 5.33413245430027}"
80z6drP0NY8,"{'positive': 25.471327572663, 'joy': 15.632364493322859, 'anticipation': 13.688138256087981, 'trust': 13.428908091123331, 'negative': 12.46661429693637, 'sadness': 6.952081696779261, 'fear': 6.260801256873528, 'anger': 6.099764336213669}"
8MkcEzfyCFM,"{'positive': 29.096426163182738, 'joy': 20.60013486176669, 'anticipation': 12.542144302090358, 'trust': 11.395819285232637, 'surprise': 8.125421443020905, 'sadness': 7.619689817936615, 'negative': 6.979096426163182, 'anger': 3.6412677006068783}"
9KapEXWynrA,"{'positive': 32.41427018480087, 'joy': 23.935171459630396, 'trust': 12.026880126494714, 'anticipation': 10.47534341338077, 'negative': 8.439569127384129, 'surprise': 5.188259709457457, 'sadness': 4.041901373653523, 'fear': 3.478604605198142}"
9OvibwfflDg,"{'positive': 34.205980066445186, 'joy': 26.471760797342192, 'trust': 10.857142857142858, 'anticipation': 9.382059800664452, 'negative': 6.830564784053156, 'surprise': 5.023255813953488, 'sadness': 3.880398671096345, 'anger': 3.3488372093023258}"
9p9sGtV4UoU,"{'positive': 30.528709494030696, 'joy': 22.65491756679932, 'trust': 11.682774303581581, 'anticipation': 10.574189880613986, 'negative': 8.499147242751564, 'surprise': 6.139852188743604, 'sadness': 5.088118249005117, 'disgust': 4.832291074474133}"
ATGZ58IRwfE,"{'positive': 33.03788668752172, 'joy': 25.703858185610013, 'trust': 11.348627042057698, 'anticipation': 10.670837678136948, 'negative': 5.943691345151199, 'surprise': 5.856795272853667, 'sadness': 4.084115397984011, 'fear': 3.354188390684741}"
AkTkUOOCZ-w,"{'positive': 30.826666666666668, 'joy': 22.666666666666664, 'trust': 13.120000000000001, 'anticipation': 10.506666666666668, 'negative': 7.466666666666668, 'surprise': 6.1866666666666665, 'sadness': 5.226666666666667, 'fear': 4.0}"
AwhBTrzzqeg,"{'positive': 30.933548560667205, 'joy': 22.270648372343288, 'trust': 12.878665590529998, 'anticipation': 10.142588108689804, 'negative': 9.195587839655635, 'surprise': 5.517890772128061, 'sadness': 4.565509819747108, 'anger': 4.495560936238903}"
Axg27gwEqCE,"{'positive': 31.44609681832223, 'joy': 23.85596399099775, 'trust': 11.641145580512775, 'anticipation': 9.673006486915847, 'negative': 7.784299015930453, 'surprise': 6.014738978862363, 'sadness': 5.216009884824147, 'anger': 4.3687392436344386}"
BDA6rPA0Fcs,"{'positive': 27.9621698786581, 'joy': 19.682369735902927, 'anticipation': 12.401855817273375, 'trust': 12.169878658101355, 'negative': 9.582441113490365, 'surprise': 7.226980728051393, 'sadness': 5.763740185581727, 'disgust': 5.210563882940757}"
D-qQneOnJl0,"{'positive': 25.89001278921056, 'joy': 19.09777932798512, 'trust': 13.421695151726542, 'anticipation': 13.240320892919428, 'negative': 9.540751075456342, 'surprise': 6.906173700732474, 'anger': 6.6573654226252765, 'disgust': 5.245901639344262}"
D_gkHpZ2oRI,"{'positive': 31.381649410924673, 'joy': 23.027490182077827, 'trust': 13.745091038914673, 'anticipation': 10.282042127811495, 'negative': 6.676187076044269, 'surprise': 5.426633345233845, 'disgust': 4.819707247411639, 'sadness': 4.641199571581578}"
EB_Z-8kBNm8,"{'positive': 32.86099865047233, 'joy': 23.04318488529015, 'trust': 12.044534412955466, 'anticipation': 10.62753036437247, 'negative': 6.578947368421052, 'sadness': 5.904183535762483, 'surprise': 5.769230769230769, 'disgust': 3.1713900134952766}"
EobMnSpjfTU,"{'positive': 30.159705159705158, 'joy': 22.266584766584767, 'trust': 12.674037674037674, 'anticipation': 11.25102375102375, 'negative': 8.230958230958231, 'surprise': 5.574324324324325, 'sadness': 5.1341113841113835, 'disgust': 4.70925470925471}"
ExTP2rYqguE,"{'positive': 32.088048364594634, 'joy': 23.515733994729498, 'trust': 12.77321345527825, 'anticipation': 10.246473414974421, 'negative': 7.05317005115486, 'surprise': 5.658037513563788, 'sadness': 5.037978607967757, 'anger': 3.627344597736785}"
FIDsKWis3jo,"{'positive': 30.657783842356622, 'joy': 22.663241963318217, 'trust': 12.581771481317974, 'anticipation': 10.928281895894369, 'negative': 8.411927599630774, 'surprise': 5.470160934301882, 'sadness': 5.060801862182446, 'fear': 4.226030420997713}"
GiYK_6FxNts,"{'positive': 25.49429128376497, 'joy': 15.80339738234475, 'negative': 14.076858813700918, 'trust': 13.575605680868838, 'anticipation': 11.26427179058758, 'sadness': 6.975772765246449, 'anger': 6.69729880256196, 'surprise': 6.112503480924533}"
HphRKCxIK_Q,"{'positive': 31.248968817026896, 'joy': 22.785018973766704, 'trust': 13.133146345487543, 'anticipation': 10.146840455370402, 'negative': 8.430951988120771, 'surprise': 5.692130011549249, 'sadness': 4.8836825606335585, 'disgust': 3.6792608480448767}"
IxlzRwNX63A,"{'positive': 33.65609348914858, 'joy': 25.091819699499162, 'anticipation': 11.085141903171953, 'trust': 9.78297161936561, 'sadness': 6.51085141903172, 'surprise': 6.49415692821369, 'negative': 5.108514190317195, 'fear': 2.2704507512520866}"
JKUWL85Betk,"{'positive': 29.73130841121495, 'joy': 20.677570093457945, 'trust': 12.967289719626168, 'anticipation': 10.981308411214954, 'negative': 10.74766355140187, 'sadness': 6.658878504672897, 'surprise': 4.2640186915887845, 'fear': 3.9719626168224296}"
Jzqu48uup54,"{'positive': 30.12105014934759, 'trust': 19.25797830529791, 'joy': 12.843892469737463, 'anticipation': 11.429020594246188, 'negative': 10.045590315988052, 'sadness': 6.036786668762773, 'anger': 5.3293507310171355, 'fear': 4.936330765602893}"
