Video ID,Dominant Emotion
-TeeIEh2IE8,anticipation and trust
-zkOLKMiX9c,positive and joy
0K9eZCW-lvc,positive and joy
0_BEwbnmRZ4,negative
5WH-PSs9hI8,positive and joy
5vNoHwgoIjw,positive and joy
5zvsAwsEwPg,positive and joy
7R2RyqU4hjI,surprise
7Z76MiQv0zg,positive and joy
7cGmj0AR3z8,sadness
80z6drP0NY8,anticipation and trust
8MkcEzfyCFM,surprise
9KapEXWynrA,positive and joy
9OvibwfflDg,positive and joy
9p9sGtV4UoU,positive and joy
ATGZ58IRwfE,positive and joy
AkTkUOOCZ-w,positive and joy
AwhBTrzzqeg,positive and joy
Axg27gwEqCE,positive and joy
BDA6rPA0Fcs,anticipation and trust
D-qQneOnJl0,anticipation and trust
D_gkHpZ2oRI,positive and joy
EB_Z-8kBNm8,positive and joy
EobMnSpjfTU,surprise
ExTP2rYqguE,positive and joy
FIDsKWis3jo,positive and joy
GiYK_6FxNts,anticipation and trust
HphRKCxIK_Q,positive and joy
IxlzRwNX63A,positive and joy
JKUWL85Betk,negative
Jzqu48uup54,anticipation and trust
KHfP3InQc94,anticipation and trust
KIqQ0gowzt4,positive and joy
KuYsILv6Fd0,positive and joy
KyI8i1-cN8s,anticipation and trust
Li8ubUzLB90,positive and joy
LpVraZRIjrY,surprise
NXrwxbxeqCE,positive and joy
P-7mzzWtnVQ,positive and joy
PKAM4M9OET8,positive and joy
PWnDS45iDj4,anticipation and trust
PqpCeiYycVM,surprise
Pt_5Faa_J-U,surprise
QMCR45FyfzU,anticipation and trust
Qc0iJpQcdis,positive and joy
QvoPw_5Sz8U,positive and joy
RDn0K9UzCpc,positive and joy
RF-Mqs2qC-M,anticipation and trust
RNjlfo_8u4s,anticipation and trust
RjVfU9WcPxE,anticipation and trust
S1_L6RGDggk,negative
SVO-iq2bjTQ,positive and joy
SrlAlMsdr3g,surprise
TPEdTajhR6A,positive and joy
UAUfo6KY1wg,anticipation and trust
UYEWJcmWKGQ,positive and joy
VTPdktgrtF8,anticipation and trust
VabOWgtG2D4,positive and joy
VxvfhuxOE1I,anticipation and trust
VyEf4EBXe8o,negative
VylU-ueLA_g,anticipation and trust
X89WJTXA8KQ,positive and joy
XNrTIQjHuKs,negative
XxPPdlo72ho,positive and joy
YQC7OtyHhxU,positive and joy
_Jqi9k3tXoQ,positive and joy
_Zr3ObadDnI,surprise
aB7JCNRI3rY,positive and joy
aTSgJgRnqG0,surprise
eOfOrQJWeP0,negative
eyUs2JgrV9E,positive and joy
fsYZye1Ykao,positive and joy
gKUyX7cjum4,positive and joy
gO_gm74yiUY,positive and joy
hJaXjItxL6w,anticipation and trust
haK2TnmVoT0,anticipation and trust
iY1UnR7z7P0,negative
jOzaz27K48E,negative
jY3P-f6q-ZI,positive and joy
jwfI8BlFwMw,negative
kavjzsRtuuA,positive and joy
l2mtebeR3rA,surprise
n50DZvVAulM,negative
ou3h0twV9TY,positive and joy
pJ8hLOkhl7M,negative
qNthtD7KmiA,positive and joy
qmHAvgEBnsk,anticipation and trust
rHyIOIstYRA,negative
sQTGkLW6fwg,anticipation and trust
uXYyyhUcFg4,sadness
uZDNGVmHxn4,anticipation and trust
ua0-5FZ2Eww,anticipation and trust
v293iGJ2PVY,positive and joy
vDD1lhHkGxk,negative
vGqYP1sKJ2Y,negative
vvrjhuJrFVc,positive and joy
vx09_4cEzlM,negative
w4HmK4JCN2U,positive and joy
xT8n0uBIURk,anticipation and trust
xqv0yo_Elj4,positive and joy
yKn3Ur6_w3c,positive and joy
yjhibJ-OqxE,anticipation and trust
zEXXe9Ef_R8,negative
zPUSDU0hrwE,positive and joy
za-ogD7nLi8,negative
zgacuXdzCmw,anticipation and trust
