Video ID,Topics
-TeeIEh2IE8,"gallery, second, elmo, remember, trophies, keep, art, chair, nepal, cold, body, museum, magazine, times, trash, trophy, door, unique"
-zkOLKMiX9c,"woman, art, pepper, old, body, white"
0K9eZCW-lvc,"tate, kitchen, body, sweet, something, dress, cozy"
0_BEwbnmRZ4,"sounds, leave, panic, humor, jazzy, guy, hilarious, man, monotone, spanish"
5WH-PSs9hI8,"mama, fracking, drag, black, disco, color, closet, joy, white"
5vNoHwgoIjw,"coop, chickens, fish, mcguire, samsung, chicken, girl, sons, lizzie, kids, dress"
5zvsAwsEwPg,"couple, story, sweet, joy, wife"
7R2RyqU4hjI,"title, accent, garden, couple, catherine, pot, mcnulty, haunted, castle, wonderful, ancestors, family, needs, irish"
7Z76MiQv0zg,"sword, woman, lotr, soul, soothing, magnolia, attic, display, arwen, sweet, tree, asmr"
7cGmj0AR3z8,"creepy, statue, colombian, jersey, guy, bedroom, coffee, quality, casa, colombia, handsome, neymar, hot"
80z6drP0NY8,"player, miss, mind, hard, furniture, guy, future, come, man, decor, vacation, nba, kids, first, court, older, basketball, jordan"
8MkcEzfyCFM,"player, collection, respect, art, guy, piece, crib, dope, salute, brother"
9KapEXWynrA,"painting, forever, large, buy, wondering, three, frame, art, wrong, wall, elena, kitchen, far, deal, yummy, texture, things, feels"
9OvibwfflDg,"cook, perfection, accent, woman, latin, learn, birds, una, closet, crystal, exquisite"
9p9sGtV4UoU,"cat, celebrities, oleander, art, upstate, toilet, bathroom, outfit, kids, dead, etsy, cozy"
ATGZ58IRwfE,"poppy, gay, couple, ricky, traffic, play, kitchen, girl, sad, tree, family, needs, new, daughter"
AkTkUOOCZ-w,"ice, everybody, couple, bunk, shoes, age, family, bed, cozy, wife"
AwhBTrzzqeg,"green, limes, soothing, movie, red, bedroom, coolest, book, kitchen, girl, neighbors, table, bamboo, dog, shades"
Axg27gwEqCE,"garden, sonata, remember, obsessed, gary, bathroom, girl, far, celebrity, mozart, beethoven"
BDA6rPA0Fcs,"gay, couple, nph, art, barney, suit, flip, book, kitchen, scooter, bar"
D-qQneOnJl0,"cook, couple, todd, pinkman, open, white, cooking, bad, cabin, lab, stone, finally, minerals, cozy, warm, meth"
D_gkHpZ2oRI,"honest, authentic, definitely, garden, furniture, books, fun, boring"
EB_Z-8kBNm8,"piano, amy, comic, pond, obsessed, kitchen, charming, yorkshire, fun, blue, door, scottish, cozy"
EobMnSpjfTU,"part, gay, world, melbourne, sense, couch, sweet, shirt, imagine, made, super, cozy"
ExTP2rYqguE,"mike, claire, couple, ross, let, perfect, rachel, tell, bathroom, feels, favourite"
FIDsKWis3jo,"view, smog, particular, built, wood, girl, dress, big, cozy"
GiYK_6FxNts,"modern, definitely, couple, inside, leonard, black, cold, interior, hotel, personal, edmonton, dog, cozy, boring, white"
HphRKCxIK_Q,"watching, picture, woman, shot, husband, line, brazilian, wearing, zip, says, jumpsuit, kids, family, naked, pics, daughter, spanish"
IxlzRwNX63A,"collection, woman, artwork, dressing, art, classy, elegance, elegant, closet"
