Video ID,Top_5_Emotions
-TeeIEh2IE8,"[('joy', 2132), ('anticipation', 1444), ('trust', 1332), ('surprise', 859), ('sadness', 806), ('disgust', 494), ('fear', 491), ('anger', 488)]"
-zkOLKMiX9c,"[('joy', 705), ('trust', 321), ('anticipation', 293), ('surprise', 157), ('sadness', 145), ('fear', 95), ('disgust', 89), ('anger', 83)]"
0K9eZCW-lvc,"[('joy', 1258), ('trust', 716), ('anticipation', 573), ('surprise', 325), ('sadness', 230), ('disgust', 158), ('fear', 151), ('anger', 126)]"
0_BEwbnmRZ4,"[('joy', 965), ('trust', 494), ('anticipation', 424), ('sadness', 341), ('surprise', 310), ('fear', 261), ('anger', 230), ('disgust', 193)]"
5WH-PSs9hI8,"[('joy', 3633), ('trust', 1683), ('anticipation', 1419), ('surprise', 718), ('sadness', 522), ('anger', 381), ('disgust', 336), ('fear', 329)]"
5vNoHwgoIjw,"[('joy', 5207), ('trust', 2794), ('anticipation', 2496), ('surprise', 1314), ('sadness', 1037), ('fear', 905), ('anger', 792), ('disgust', 767)]"
5zvsAwsEwPg,"[('joy', 2197), ('trust', 867), ('anticipation', 701), ('surprise', 402), ('sadness', 270), ('fear', 115), ('disgust', 79), ('anger', 71)]"
7R2RyqU4hjI,"[('joy', 2787), ('trust', 1932), ('anticipation', 1684), ('surprise', 1150), ('sadness', 904), ('fear', 740), ('anger', 675), ('disgust', 609)]"
7Z76MiQv0zg,"[('joy', 7023), ('trust', 3791), ('anticipation', 3160), ('surprise', 2097), ('sadness', 1281), ('disgust', 1005), ('anger', 964), ('fear', 775)]"
7cGmj0AR3z8,"[('joy', 684), ('trust', 403), ('anticipation', 364), ('sadness', 216), ('surprise', 190), ('anger', 178), ('fear', 168), ('disgust', 153)]"
80z6drP0NY8,"[('joy', 3980), ('anticipation', 3485), ('trust', 3419), ('sadness', 1770), ('fear', 1594), ('anger', 1553), ('disgust', 1364), ('surprise', 1316)]"
8MkcEzfyCFM,"[('joy', 611), ('anticipation', 372), ('trust', 338), ('surprise', 241), ('sadness', 226), ('anger', 108), ('fear', 96), ('disgust', 83)]"
9KapEXWynrA,"[('joy', 2422), ('trust', 1217), ('anticipation', 1060), ('surprise', 525), ('sadness', 409), ('fear', 352), ('disgust', 321), ('anger', 319)]"
9OvibwfflDg,"[('joy', 1992), ('trust', 817), ('anticipation', 706), ('surprise', 378), ('sadness', 292), ('anger', 252), ('disgust', 230), ('fear', 206)]"
9p9sGtV4UoU,"[('joy', 797), ('trust', 411), ('anticipation', 372), ('surprise', 216), ('sadness', 179), ('disgust', 170), ('anger', 112), ('fear', 103)]"
ATGZ58IRwfE,"[('joy', 1479), ('trust', 653), ('anticipation', 614), ('surprise', 337), ('sadness', 235), ('fear', 193), ('anger', 189), ('disgust', 185)]"
AkTkUOOCZ-w,"[('joy', 425), ('trust', 246), ('anticipation', 197), ('surprise', 116), ('sadness', 98), ('fear', 75), ('anger', 71), ('disgust', 59)]"
AwhBTrzzqeg,"[('joy', 8278), ('trust', 4787), ('anticipation', 3770), ('surprise', 2051), ('sadness', 1697), ('anger', 1671), ('fear', 1638), ('disgust', 1465)]"
Axg27gwEqCE,"[('joy', 5406), ('trust', 2638), ('anticipation', 2192), ('surprise', 1363), ('sadness', 1182), ('anger', 990), ('fear', 933), ('disgust', 875)]"
BDA6rPA0Fcs,"[('joy', 1103), ('anticipation', 695), ('trust', 682), ('surprise', 405), ('sadness', 323), ('disgust', 292), ('anger', 276), ('fear', 248)]"
D-qQneOnJl0,"[('joy', 8213), ('trust', 5772), ('anticipation', 5694), ('surprise', 2970), ('anger', 2863), ('disgust', 2256), ('sadness', 2189), ('fear', 2129)]"
D_gkHpZ2oRI,"[('joy', 645), ('trust', 385), ('anticipation', 288), ('surprise', 152), ('disgust', 135), ('sadness', 130), ('anger', 123), ('fear', 116)]"
