Video ID,Top_3_Emotions
-TeeIEh2IE8,"[('positive', 2959), ('joy', 2132), ('anticipation', 1444), ('trust', 1332), ('negative', 1090), ('surprise', 859), ('sadness', 806), ('disgust', 494)]"
-zkOLKMiX9c,"[('positive', 921), ('joy', 705), ('trust', 321), ('anticipation', 293), ('negative', 194), ('surprise', 157), ('sadness', 145), ('fear', 95)]"
0K9eZCW-lvc,"[('positive', 1762), ('joy', 1258), ('trust', 716), ('anticipation', 573), ('surprise', 325), ('negative', 284), ('sadness', 230), ('disgust', 158)]"
0_BEwbnmRZ4,"[('positive', 1475), ('joy', 965), ('negative', 538), ('trust', 494), ('anticipation', 424), ('sadness', 341), ('surprise', 310), ('fear', 261)]"
5WH-PSs9hI8,"[('positive', 4639), ('joy', 3633), ('trust', 1683), ('anticipation', 1419), ('negative', 898), ('surprise', 718), ('sadness', 522), ('anger', 381)]"
5vNoHwgoIjw,"[('positive', 6933), ('joy', 5207), ('trust', 2794), ('anticipation', 2496), ('negative', 1639), ('surprise', 1314), ('sadness', 1037), ('fear', 905)]"
5zvsAwsEwPg,"[('positive', 2706), ('joy', 2197), ('trust', 867), ('anticipation', 701), ('surprise', 402), ('sadness', 270), ('negative', 200), ('fear', 115)]"
7R2RyqU4hjI,"[('positive', 4315), ('joy', 2787), ('trust', 1932), ('anticipation', 1684), ('negative', 1380), ('surprise', 1150), ('sadness', 904), ('fear', 740)]"
7Z76MiQv0zg,"[('positive', 8970), ('joy', 7023), ('trust', 3791), ('anticipation', 3160), ('surprise', 2097), ('negative', 1459), ('sadness', 1281), ('disgust', 1005)]"
7cGmj0AR3z8,"[('positive', 995), ('joy', 684), ('trust', 403), ('anticipation', 364), ('negative', 307), ('sadness', 216), ('surprise', 190), ('anger', 178)]"
80z6drP0NY8,"[('positive', 6485), ('joy', 3980), ('anticipation', 3485), ('trust', 3419), ('negative', 3174), ('sadness', 1770), ('fear', 1594), ('anger', 1553)]"
8MkcEzfyCFM,"[('positive', 863), ('joy', 611), ('anticipation', 372), ('trust', 338), ('surprise', 241), ('sadness', 226), ('negative', 207), ('anger', 108)]"
9KapEXWynrA,"[('positive', 3280), ('joy', 2422), ('trust', 1217), ('anticipation', 1060), ('negative', 854), ('surprise', 525), ('sadness', 409), ('fear', 352)]"
9OvibwfflDg,"[('positive', 2574), ('joy', 1992), ('trust', 817), ('anticipation', 706), ('negative', 514), ('surprise', 378), ('sadness', 292), ('anger', 252)]"
9p9sGtV4UoU,"[('positive', 1074), ('joy', 797), ('trust', 411), ('anticipation', 372), ('negative', 299), ('surprise', 216), ('sadness', 179), ('disgust', 170)]"
ATGZ58IRwfE,"[('positive', 1901), ('joy', 1479), ('trust', 653), ('anticipation', 614), ('negative', 342), ('surprise', 337), ('sadness', 235), ('fear', 193)]"
AkTkUOOCZ-w,"[('positive', 578), ('joy', 425), ('trust', 246), ('anticipation', 197), ('negative', 140), ('surprise', 116), ('sadness', 98), ('fear', 75)]"
AwhBTrzzqeg,"[('positive', 11498), ('joy', 8278), ('trust', 4787), ('anticipation', 3770), ('negative', 3418), ('surprise', 2051), ('sadness', 1697), ('anger', 1671)]"
Axg27gwEqCE,"[('positive', 7126), ('joy', 5406), ('trust', 2638), ('anticipation', 2192), ('negative', 1764), ('surprise', 1363), ('sadness', 1182), ('anger', 990)]"
BDA6rPA0Fcs,"[('positive', 1567), ('joy', 1103), ('anticipation', 695), ('trust', 682), ('negative', 537), ('surprise', 405), ('sadness', 323), ('disgust', 292)]"
D-qQneOnJl0,"[('positive', 11134), ('joy', 8213), ('trust', 5772), ('anticipation', 5694), ('negative', 4103), ('surprise', 2970), ('anger', 2863), ('disgust', 2256)]"
D_gkHpZ2oRI,"[('positive', 879), ('joy', 645), ('trust', 385), ('anticipation', 288), ('negative', 187), ('surprise', 152), ('disgust', 135), ('sadness', 130)]"
EB_Z-8kBNm8,"[('positive', 974), ('joy', 683), ('trust', 357), ('anticipation', 315), ('negative', 195), ('sadness', 175), ('surprise', 171), ('disgust', 94)]"
EobMnSpjfTU,"[('positive', 5892), ('joy', 4350), ('trust', 2476), ('anticipation', 2198), ('negative', 1608), ('surprise', 1089), ('sadness', 1003), ('disgust', 920)]"
ExTP2rYqguE,"[('positive', 2070), ('joy', 1517), ('trust', 824), ('anticipation', 661), ('negative', 455), ('surprise', 365), ('sadness', 325), ('anger', 234)]"
