Video ID,Topic
kavjzsRtuuA,"(0, '0.089*""[\'ad\', \'welcomed\', \'hit\', \'music\', \'producer\', \'tour\', \'home\', \'los\', \'built\', \'spacious\', \'home\', \'throw\', \'away\', \'recording\', \'despite\', \'proximity\', \'design\', \'brief\', \'help\', \'rachel\', \'leigh\', \'ward\', \'dana\', \'vitrano\', \'bonvivant\', \'interiors\', \'designer\', \'keefe\', \'butler\', \'studio\', \'resulting\', \'space\', \'eclectic\', \'playful\', \'plenty\', \'kick\', \'back\', \'relax\', \'family\', \'including\', \'superstar\', \'girlfriend\', \'selena\', \'red\', \'velvet\', \'movie\', \'theatre\', \'candy\', \'room\', \'dressing\', \'home\', \'full\', \'personality\', \'fun\', \'know\', \'house\', \'friend\', \'told\', \'love\', \'coming\', \'house\', \'feel\', \'like\', \'let\', \'go\', \'true\', \'exactly\', \'going\', \'shop\', \'pieces\', \'inspired\', \'la\', \'buy\', \'something\', \'retail\', \'earn\', \'affiliate\', \'see\', \'la\', \'home\', \'artwork\', \'courtesy\', \'night\', \'gallery\', \'impossible\', \'viscosity\', \'faig\', \'ahmed\', \'courtesy\', \'artist\', \'sapar\', \'untitled\', \'boxer\', \'martin\', \'wong\', \'foundation\', \'courtesy\', \'martin\', \'wong\', \'foundation\', \'new\', \'york\', \'want\', \'even\', \'subscribe\', \'magazine\', \'get\', \'free\', \'tote\', \'still\', \'subscribed\', \'architectural\', \'digest\', \'architectural\', \'digest\', \'leading\', \'international\', \'design\', \'architectural\', \'digest\', \'features\', \'articles\', \'videos\', \'best\']"" + 0.015*""house"" + 0.013*""cold"" + 0.012*""like"" + 0.012*""plunge"" + 0.010*""faster"" + 0.010*""emails"" + 0.010*""going"" + 0.010*""write"" + 0.008*""seems""')"
kavjzsRtuuA,"(1, '0.100*""[\'ad\', \'welcomed\', \'hit\', \'music\', \'producer\', \'tour\', \'home\', \'los\', \'built\', \'spacious\', \'home\', \'throw\', \'away\', \'recording\', \'despite\', \'proximity\', \'design\', \'brief\', \'help\', \'rachel\', \'leigh\', \'ward\', \'dana\', \'vitrano\', \'bonvivant\', \'interiors\', \'designer\', \'keefe\', \'butler\', \'studio\', \'resulting\', \'space\', \'eclectic\', \'playful\', \'plenty\', \'kick\', \'back\', \'relax\', \'family\', \'including\', \'superstar\', \'girlfriend\', \'selena\', \'red\', \'velvet\', \'movie\', \'theatre\', \'candy\', \'room\', \'dressing\', \'home\', \'full\', \'personality\', \'fun\', \'know\', \'house\', \'friend\', \'told\', \'love\', \'coming\', \'house\', \'feel\', \'like\', \'let\', \'go\', \'true\', \'exactly\', \'going\', \'shop\', \'pieces\', \'inspired\', \'la\', \'buy\', \'something\', \'retail\', \'earn\', \'affiliate\', \'see\', \'la\', \'home\', \'artwork\', \'courtesy\', \'night\', \'gallery\', \'impossible\', \'viscosity\', \'faig\', \'ahmed\', \'courtesy\', \'artist\', \'sapar\', \'untitled\', \'boxer\', \'martin\', \'wong\', \'foundation\', \'courtesy\', \'martin\', \'wong\', \'foundation\', \'new\', \'york\', \'want\', \'even\', \'subscribe\', \'magazine\', \'get\', \'free\', \'tote\', \'still\', \'subscribed\', \'architectural\', \'digest\', \'architectural\', \'digest\', \'leading\', \'international\', \'design\', \'architectural\', \'digest\', \'features\', \'articles\', \'videos\', \'best\']"" + 0.019*""one"" + 0.014*""lucky"" + 0.014*""know"" + 0.013*""best"" + 0.010*""love"" + 0.008*""genuine"" + 0.008*""gomez"" + 0.008*""guy"" + 0.007*""back""')"
kavjzsRtuuA,"(2, '0.124*""[\'ad\', \'welcomed\', \'hit\', \'music\', \'producer\', \'tour\', \'home\', \'los\', \'built\', \'spacious\', \'home\', \'throw\', \'away\', \'recording\', \'despite\', \'proximity\', \'design\', \'brief\', \'help\', \'rachel\', \'leigh\', \'ward\', \'dana\', \'vitrano\', \'bonvivant\', \'interiors\', \'designer\', \'keefe\', \'butler\', \'studio\', \'resulting\', \'space\', \'eclectic\', \'playful\', \'plenty\', \'kick\', \'back\', \'relax\', \'family\', \'including\', \'superstar\', \'girlfriend\', \'selena\', \'red\', \'velvet\', \'movie\', \'theatre\', \'candy\', \'room\', \'dressing\', \'home\', \'full\', \'personality\', \'fun\', \'know\', \'house\', \'friend\', \'told\', \'love\', \'coming\', \'house\', \'feel\', \'like\', \'let\', \'go\', \'true\', \'exactly\', \'going\', \'shop\', \'pieces\', \'inspired\', \'la\', \'buy\', \'something\', \'retail\', \'earn\', \'affiliate\', \'see\', \'la\', \'home\', \'artwork\', \'courtesy\', \'night\', \'gallery\', \'impossible\', \'viscosity\', \'faig\', \'ahmed\', \'courtesy\', \'artist\', \'sapar\', \'untitled\', \'boxer\', \'martin\', \'wong\', \'foundation\', \'courtesy\', \'martin\', \'wong\', \'foundation\', \'new\', \'york\', \'want\', \'even\', \'subscribe\', \'magazine\', \'get\', \'free\', \'tote\', \'still\', \'subscribed\', \'architectural\', \'digest\', \'architectural\', \'digest\', \'leading\', \'international\', \'design\', \'architectural\', \'digest\', \'features\', \'articles\', \'videos\', \'best\']"" + 0.017*""lol"" + 0.016*""see"" + 0.015*""best"" + 0.015*""want"" + 0.015*""amazing"" + 0.014*""energy"" + 0.012*""wow"" + 0.012*""art"" + 0.010*""happy""')"
kavjzsRtuuA,"(3, '0.173*""[\'ad\', \'welcomed\', \'hit\', \'music\', \'producer\', \'tour\', \'home\', \'los\', \'built\', \'spacious\', \'home\', \'throw\', \'away\', \'recording\', \'despite\', \'proximity\', \'design\', \'brief\', \'help\', \'rachel\', \'leigh\', \'ward\', \'dana\', \'vitrano\', \'bonvivant\', \'interiors\', \'designer\', \'keefe\', \'butler\', \'studio\', \'resulting\', \'space\', \'eclectic\', \'playful\', \'plenty\', \'kick\', \'back\', \'relax\', \'family\', \'including\', \'superstar\', \'girlfriend\', \'selena\', \'red\', \'velvet\', \'movie\', \'theatre\', \'candy\', \'room\', \'dressing\', \'home\', \'full\', \'personality\', \'fun\', \'know\', \'house\', \'friend\', \'told\', \'love\', \'coming\', \'house\', \'feel\', \'like\', \'let\', \'go\', \'true\', \'exactly\', \'going\', \'shop\', \'pieces\', \'inspired\', \'la\', \'buy\', \'something\', \'retail\', \'earn\', \'affiliate\', \'see\', \'la\', \'home\', \'artwork\', \'courtesy\', \'night\', \'gallery\', \'impossible\', \'viscosity\', \'faig\', \'ahmed\', \'courtesy\', \'artist\', \'sapar\', \'untitled\', \'boxer\', \'martin\', \'wong\', \'foundation\', \'courtesy\', \'martin\', \'wong\', \'foundation\', \'new\', \'york\', \'want\', \'even\', \'subscribe\', \'magazine\', \'get\', \'free\', \'tote\', \'still\', \'subscribed\', \'architectural\', \'digest\', \'architectural\', \'digest\', \'leading\', \'international\', \'design\', \'architectural\', \'digest\', \'features\', \'articles\', \'videos\', \'best\']"" + 0.075*""love"" + 0.043*""house"" + 0.017*""cool"" + 0.014*""guy"" + 0.012*""dude"" + 0.010*""know"" + 0.009*""sweet"" + 0.008*""beautiful"" + 0.008*""like""')"
kavjzsRtuuA,"(4, '0.056*""[\'ad\', \'welcomed\', \'hit\', \'music\', \'producer\', \'tour\', \'home\', \'los\', \'built\', \'spacious\', \'home\', \'throw\', \'away\', \'recording\', \'despite\', \'proximity\', \'design\', \'brief\', \'help\', \'rachel\', \'leigh\', \'ward\', \'dana\', \'vitrano\', \'bonvivant\', \'interiors\', \'designer\', \'keefe\', \'butler\', \'studio\', \'resulting\', \'space\', \'eclectic\', \'playful\', \'plenty\', \'kick\', \'back\', \'relax\', \'family\', \'including\', \'superstar\', \'girlfriend\', \'selena\', \'red\', \'velvet\', \'movie\', \'theatre\', \'candy\', \'room\', \'dressing\', \'home\', \'full\', \'personality\', \'fun\', \'know\', \'house\', \'friend\', \'told\', \'love\', \'coming\', \'house\', \'feel\', \'like\', \'let\', \'go\', \'true\', \'exactly\', \'going\', \'shop\', \'pieces\', \'inspired\', \'la\', \'buy\', \'something\', \'retail\', \'earn\', \'affiliate\', \'see\', \'la\', \'home\', \'artwork\', \'courtesy\', \'night\', \'gallery\', \'impossible\', \'viscosity\', \'faig\', \'ahmed\', \'courtesy\', \'artist\', \'sapar\', \'untitled\', \'boxer\', \'martin\', \'wong\', \'foundation\', \'courtesy\', \'martin\', \'wong\', \'foundation\', \'new\', \'york\', \'want\', \'even\', \'subscribe\', \'magazine\', \'get\', \'free\', \'tote\', \'still\', \'subscribed\', \'architectural\', \'digest\', \'architectural\', \'digest\', \'leading\', \'international\', \'design\', \'architectural\', \'digest\', \'features\', \'articles\', \'videos\', \'best\']"" + 0.011*""get"" + 0.008*""would"" + 0.008*""lmao"" + 0.008*""okay"" + 0.007*""nobody"" + 0.007*""candies"" + 0.006*""bro"" + 0.005*""house"" + 0.005*""seems""')"
kavjzsRtuuA,"(5, '0.140*""[\'ad\', \'welcomed\', \'hit\', \'music\', \'producer\', \'tour\', \'home\', \'los\', \'built\', \'spacious\', \'home\', \'throw\', \'away\', \'recording\', \'despite\', \'proximity\', \'design\', \'brief\', \'help\', \'rachel\', \'leigh\', \'ward\', \'dana\', \'vitrano\', \'bonvivant\', \'interiors\', \'designer\', \'keefe\', \'butler\', \'studio\', \'resulting\', \'space\', \'eclectic\', \'playful\', \'plenty\', \'kick\', \'back\', \'relax\', \'family\', \'including\', \'superstar\', \'girlfriend\', \'selena\', \'red\', \'velvet\', \'movie\', \'theatre\', \'candy\', \'room\', \'dressing\', \'home\', \'full\', \'personality\', \'fun\', \'know\', \'house\', \'friend\', \'told\', \'love\', \'coming\', \'house\', \'feel\', \'like\', \'let\', \'go\', \'true\', \'exactly\', \'going\', \'shop\', \'pieces\', \'inspired\', \'la\', \'buy\', \'something\', \'retail\', \'earn\', \'affiliate\', \'see\', \'la\', \'home\', \'artwork\', \'courtesy\', \'night\', \'gallery\', \'impossible\', \'viscosity\', \'faig\', \'ahmed\', \'courtesy\', \'artist\', \'sapar\', \'untitled\', \'boxer\', \'martin\', \'wong\', \'foundation\', \'courtesy\', \'martin\', \'wong\', \'foundation\', \'new\', \'york\', \'want\', \'even\', \'subscribe\', \'magazine\', \'get\', \'free\', \'tote\', \'still\', \'subscribed\', \'architectural\', \'digest\', \'architectural\', \'digest\', \'leading\', \'international\', \'design\', \'architectural\', \'digest\', \'features\', \'articles\', \'videos\', \'best\']"" + 0.025*""like"" + 0.017*""one"" + 0.015*""house"" + 0.013*""love"" + 0.011*""people"" + 0.009*""fun"" + 0.008*""lol"" + 0.007*""come"" + 0.007*""shower""')"
kavjzsRtuuA,"(6, '0.115*""[\'ad\', \'welcomed\', \'hit\', \'music\', \'producer\', \'tour\', \'home\', \'los\', \'built\', \'spacious\', \'home\', \'throw\', \'away\', \'recording\', \'despite\', \'proximity\', \'design\', \'brief\', \'help\', \'rachel\', \'leigh\', \'ward\', \'dana\', \'vitrano\', \'bonvivant\', \'interiors\', \'designer\', \'keefe\', \'butler\', \'studio\', \'resulting\', \'space\', \'eclectic\', \'playful\', \'plenty\', \'kick\', \'back\', \'relax\', \'family\', \'including\', \'superstar\', \'girlfriend\', \'selena\', \'red\', \'velvet\', \'movie\', \'theatre\', \'candy\', \'room\', \'dressing\', \'home\', \'full\', \'personality\', \'fun\', \'know\', \'house\', \'friend\', \'told\', \'love\', \'coming\', \'house\', \'feel\', \'like\', \'let\', \'go\', \'true\', \'exactly\', \'going\', \'shop\', \'pieces\', \'inspired\', \'la\', \'buy\', \'something\', \'retail\', \'earn\', \'affiliate\', \'see\', \'la\', \'home\', \'artwork\', \'courtesy\', \'night\', \'gallery\', \'impossible\', \'viscosity\', \'faig\', \'ahmed\', \'courtesy\', \'artist\', \'sapar\', \'untitled\', \'boxer\', \'martin\', \'wong\', \'foundation\', \'courtesy\', \'martin\', \'wong\', \'foundation\', \'new\', \'york\', \'want\', \'even\', \'subscribe\', \'magazine\', \'get\', \'free\', \'tote\', \'still\', \'subscribed\', \'architectural\', \'digest\', \'architectural\', \'digest\', \'leading\', \'international\', \'design\', \'architectural\', \'digest\', \'features\', \'articles\', \'videos\', \'best\']"" + 0.027*""like"" + 0.015*""saying"" + 0.014*""vibe"" + 0.011*""see"" + 0.010*""time"" + 0.009*""lol"" + 0.009*""loves"" + 0.009*""guy"" + 0.009*""love""')"
kavjzsRtuuA,"(7, '0.094*""[\'ad\', \'welcomed\', \'hit\', \'music\', \'producer\', \'tour\', \'home\', \'los\', \'built\', \'spacious\', \'home\', \'throw\', \'away\', \'recording\', \'despite\', \'proximity\', \'design\', \'brief\', \'help\', \'rachel\', \'leigh\', \'ward\', \'dana\', \'vitrano\', \'bonvivant\', \'interiors\', \'designer\', \'keefe\', \'butler\', \'studio\', \'resulting\', \'space\', \'eclectic\', \'playful\', \'plenty\', \'kick\', \'back\', \'relax\', \'family\', \'including\', \'superstar\', \'girlfriend\', \'selena\', \'red\', \'velvet\', \'movie\', \'theatre\', \'candy\', \'room\', \'dressing\', \'home\', \'full\', \'personality\', \'fun\', \'know\', \'house\', \'friend\', \'told\', \'love\', \'coming\', \'house\', \'feel\', \'like\', \'let\', \'go\', \'true\', \'exactly\', \'going\', \'shop\', \'pieces\', \'inspired\', \'la\', \'buy\', \'something\', \'retail\', \'earn\', \'affiliate\', \'see\', \'la\', \'home\', \'artwork\', \'courtesy\', \'night\', \'gallery\', \'impossible\', \'viscosity\', \'faig\', \'ahmed\', \'courtesy\', \'artist\', \'sapar\', \'untitled\', \'boxer\', \'martin\', \'wong\', \'foundation\', \'courtesy\', \'martin\', \'wong\', \'foundation\', \'new\', \'york\', \'want\', \'even\', \'subscribe\', \'magazine\', \'get\', \'free\', \'tote\', \'still\', \'subscribed\', \'architectural\', \'digest\', \'architectural\', \'digest\', \'leading\', \'international\', \'design\', \'architectural\', \'digest\', \'features\', \'articles\', \'videos\', \'best\']"" + 0.015*""guy"" + 0.012*""room"" + 0.011*""could"" + 0.010*""earth"" + 0.010*""best"" + 0.009*""cool"" + 0.007*""ever"" + 0.007*""wen"" + 0.007*""one""')"
kavjzsRtuuA,"(8, '0.127*""[\'ad\', \'welcomed\', \'hit\', \'music\', \'producer\', \'tour\', \'home\', \'los\', \'built\', \'spacious\', \'home\', \'throw\', \'away\', \'recording\', \'despite\', \'proximity\', \'design\', \'brief\', \'help\', \'rachel\', \'leigh\', \'ward\', \'dana\', \'vitrano\', \'bonvivant\', \'interiors\', \'designer\', \'keefe\', \'butler\', \'studio\', \'resulting\', \'space\', \'eclectic\', \'playful\', \'plenty\', \'kick\', \'back\', \'relax\', \'family\', \'including\', \'superstar\', \'girlfriend\', \'selena\', \'red\', \'velvet\', \'movie\', \'theatre\', \'candy\', \'room\', \'dressing\', \'home\', \'full\', \'personality\', \'fun\', \'know\', \'house\', \'friend\', \'told\', \'love\', \'coming\', \'house\', \'feel\', \'like\', \'let\', \'go\', \'true\', \'exactly\', \'going\', \'shop\', \'pieces\', \'inspired\', \'la\', \'buy\', \'something\', \'retail\', \'earn\', \'affiliate\', \'see\', \'la\', \'home\', \'artwork\', \'courtesy\', \'night\', \'gallery\', \'impossible\', \'viscosity\', \'faig\', \'ahmed\', \'courtesy\', \'artist\', \'sapar\', \'untitled\', \'boxer\', \'martin\', \'wong\', \'foundation\', \'courtesy\', \'martin\', \'wong\', \'foundation\', \'new\', \'york\', \'want\', \'even\', \'subscribe\', \'magazine\', \'get\', \'free\', \'tote\', \'still\', \'subscribed\', \'architectural\', \'digest\', \'architectural\', \'digest\', \'leading\', \'international\', \'design\', \'architectural\', \'digest\', \'features\', \'articles\', \'videos\', \'best\']"" + 0.054*""love"" + 0.010*""people"" + 0.010*""room"" + 0.008*""beautiful"" + 0.007*""would"" + 0.005*""much"" + 0.005*""like"" + 0.005*""thank"" + 0.005*""still""')"
kavjzsRtuuA,"(9, '0.149*""[\'ad\', \'welcomed\', \'hit\', \'music\', \'producer\', \'tour\', \'home\', \'los\', \'built\', \'spacious\', \'home\', \'throw\', \'away\', \'recording\', \'despite\', \'proximity\', \'design\', \'brief\', \'help\', \'rachel\', \'leigh\', \'ward\', \'dana\', \'vitrano\', \'bonvivant\', \'interiors\', \'designer\', \'keefe\', \'butler\', \'studio\', \'resulting\', \'space\', \'eclectic\', \'playful\', \'plenty\', \'kick\', \'back\', \'relax\', \'family\', \'including\', \'superstar\', \'girlfriend\', \'selena\', \'red\', \'velvet\', \'movie\', \'theatre\', \'candy\', \'room\', \'dressing\', \'home\', \'full\', \'personality\', \'fun\', \'know\', \'house\', \'friend\', \'told\', \'love\', \'coming\', \'house\', \'feel\', \'like\', \'let\', \'go\', \'true\', \'exactly\', \'going\', \'shop\', \'pieces\', \'inspired\', \'la\', \'buy\', \'something\', \'retail\', \'earn\', \'affiliate\', \'see\', \'la\', \'home\', \'artwork\', \'courtesy\', \'night\', \'gallery\', \'impossible\', \'viscosity\', \'faig\', \'ahmed\', \'courtesy\', \'artist\', \'sapar\', \'untitled\', \'boxer\', \'martin\', \'wong\', \'foundation\', \'courtesy\', \'martin\', \'wong\', \'foundation\', \'new\', \'york\', \'want\', \'even\', \'subscribe\', \'magazine\', \'get\', \'free\', \'tote\', \'still\', \'subscribed\', \'architectural\', \'digest\', \'architectural\', \'digest\', \'leading\', \'international\', \'design\', \'architectural\', \'digest\', \'features\', \'articles\', \'videos\', \'best\']"" + 0.042*""guy"" + 0.042*""seems"" + 0.037*""like"" + 0.027*""house"" + 0.017*""nice"" + 0.016*""love"" + 0.012*""awesome"" + 0.011*""see"" + 0.011*""much""')"
